Absolute Zero,#0048BA
Acid Green,#B0BF1A
Aero,#7CB9E8
Aero Blue,#C9FFE5
African Violet,#B284BE
Air Force Blue (USAF),#00308F
Air Superiority Blue,#72A0C1
Alabama Crimson,#AF002A
Alabaster[Citation Needed],#F2F0E6
Alice Blue,#F0F8FF
Alien Armpit,#84DE02
Alizarin Crimson,#E32636
Alloy Orange,#C46210
Almond,#EFDECD
Amaranth,#E52B50
Amaranth Deep Purple,#9F2B68
Amaranth Pink,#F19CBB
Amaranth Purple,#AB274F
Amaranth Red,#D3212D
Amazon,#3B7A57
Amber,#FFBF00
Amber (SAE/ECE),#FF7E00
American Blue,#3B3B6D
American Bronze,#391802
American Brown,#804040
American Gold,#D3AF37
American Green,#34B334
American Orange,#FF8B00
American Pink,#FF9899
American Purple,#431C53
American Red,#B32134
American Rose,#FF033E
American Silver,#CFCFCF
American Violet,#551B8C
American Yellow,#F2B400
Amethyst,#9966CC
Android Green,#A4C639
Anti-Flash White,#F2F3F4
Antique Brass,#CD9575
Antique Bronze,#665D1E
Antique Fuchsia,#915C83
Antique Ruby,#841B2D
Antique White,#FAEBD7
Ao (English),#008000
Apple,#66B447
Apple Green,#8DB600
Apricot,#FBCEB1
Aqua,#00FFFF
Aquamarine,#7FFFD4
Arctic Lime,#D0FF14
Argent,#C0C0C0
Army Green,#4B5320
Arsenic,#3B444B
Artichoke,#8F9779
Arylide Yellow,#E9D66B
Ash Gray,#B2BEB5
Asparagus,#87A96B
Ateneo Blue,#003A6C
Atomic Tangerine,#FF9966
Auburn,#A52A2A
Aureolin,#FDEE00
AuroMetalSaurus,#6E7F80
Avocado,#568203
Awesome,#FF2052
Axolotl,#63775B
Aztec Gold,#C39953
Azure,#007FFF
Azure (Web Color),#F0FFFF
Azure Mist,#F0FFFF
Azureish White,#DBE9F4
B'dazzled Blue,#2E5894
Baby Blue,#89CFF0
Baby Blue Eyes,#A1CAF1
Baby Pink,#F4C2C2
Baby Powder,#FEFEFA
